age,height,weight
9,142.9,30.1
9,141.9,30.8
9,140.5,29.3
9,142.7,28.8
10,144.4,32.3
10,147.6,32.8
10,147.6,34.8
10,147.4,34.4
10,146.2,32.3
10,144.9,33.7
10,147.9,32.7
10,145.6,34.1
10,149.0,33.3
10,146.0,33.5
10,147.1,33.6
10,149.0,32.5
10,149.6,33.4
10,147.3,33.6
10,147.4,32.8
10,145.3,32.2
10,147.1,34.0
10,147.3,33.5
10,144.5,34.4
10,145.8,32.6
10,145.7,34.6
10,149.0,32.8
10,145.6,32.8
10,144.8,34.7
10,148.8,34.5
11,153.0,37.7
11,150.7,37.9
11,150.9,37.5
11,151.4,36.8
11,150.8,37.8
11,150.8,37.5
11,152.8,36.9
11,153.6,36.9
11,153.4,36.7
11,151.5,36.6
11,150.6,37.8
11,153.4,35.7
11,152.0,37.7
11,152.3,36.8
11,152.5,36.2
11,151.0,37.3
11,151.0,37.9
11,152.7,35.3
11,150.7,36.0
11,152.5,37.7
11,153.5,38.0
11,151.2,36.7
11,153.2,36.9
11,150.9,36.1
11,151.4,38.0
12,155.0,38.7
12,155.9,40.1
12,157.6,39.0
12,157.1,39.5
12,157.1,39.5
12,157.0,41.3
12,158.1,41.1
12,156.7,39.5
12,157.3,40.6
12,158.1,38.9
12,154.8,38.3
12,157.3,40.0
12,154.6,40.1
12,155.3,39.2
12,154.9,40.1
12,155.2,39.7
12,157.5,40.3
12,155.0,40.9
12,158.5,40.2
12,154.4,41.1
12,157.3,40.9
12,156.6,41.1
12,155.8,41.2
12,157.5,39.3
12,155.6,38.5
13,161.2,43.1
13,161.5,45.0
13,161.3,45.1
13,159.3,42.2
13,159.4,42.4
13,161.7,44.5
13,159.8,43.2
13,161.7,42.2
13,163.7,43.9
13,160.3,43.2
13,162.6,44.4
13,162.7,42.0
13,163.5,42.6
13,160.3,44.5
13,162.3,42.8
13,160.5,44.2
13,162.9,41.8
13,159.8,43.2
13,161.6,42.4
13,160.6,42.6
13,159.2,43.3
13,160.2,43.7
13,159.2,43.3
13,162.2,43.6
13,159.7,44.0
14,168.4,45.6
14,166.8,48.5
14,165.9,50.0
14,166.5,49.2
14,166.9,50.7
14,165.6,48.6
14,165.6,48.0
14,165.6,47.0
14,169.1,47.7
14,169.1,48.2
14,168.8,46.9
14,167.8,46.8
14,168.5,48.4
14,167.9,48.6
14,166.8,47.2
14,165.3,49.7
14,168.4,49.2
14,166.1,46.1
14,169.2,46.4
14,165.0,48.5
14,165.4,49.1
14,169.3,46.1
14,167.5,46.6
14,165.3,47.1
14,166.7,45.9
15,173.8,60.7
15,173.9,61.0
15,172.1,62.2
15,172.7,61.4
15,174.7,62.2
15,172.7,62.4
15,175.0,62.6
15,173.4,61.6
15,175.3,62.4
15,172.0,62.8
15,172.2,61.5
15,172.4,60.0
15,173.9,62.1
15,175.0,62.4
15,172.5,61.5
15,173.8,62.6
15,174.8,62.1
15,173.0,60.9
15,175.0,62.4
15,173.8,61.0
15,175.0,60.4
15,175.1,62.1
15,175.0,62.0
15,173.8,62.8
15,175.0,60.2
16,175.7,63.9
16,177.3,64.8
16,176.0,64.0
16,177.0,63.2
16,177.2,64.3
16,176.9,64.6
16,176.0,63.6
16,177.4,64.5
16,175.7,63.9
16,177.4,63.1
16,177.5,64.5
16,177.2,64.4
16,177.4,63.2
16,175.7,64.2
16,176.3,64.6
16,177.6,63.9
16,177.6,63.6
16,176.1,63.6
16,176.5,63.1
16,175.7,63.8
16,177.0,64.3
16,177.1,63.7
16,176.1,64.5
16,175.8,64.6
16,176.4,64.3
17,179.2,67.8
17,179.0,68.3
17,179.1,67.8
17,179.1,68.1
17,178.7,67.7
17,178.4,68.1
17,178.6,67.6
17,180.0,68.5
17,180.2,68.0
17,179.8,67.4
17,178.4,68.8
17,178.5,68.5
17,179.8,67.4
17,178.1,67.3
17,178.7,67.6
17,178.8,67.2
17,179.9,68.8
17,178.1,68.8
17,179.6,67.4
17,178.7,67.2
17,179.4,68.3
17,178.6,67.2
17,179.3,67.9
17,180.1,68.2
17,178.7,68.9
18,181.8,71.3
18,182.9,71.3
18,182.7,72.7
18,181.7,72.8
18,181.8,71.2
18,181.9,71.4
18,182.8,71.7
18,181.6,71.9
18,182.1,72.5
18,182.7,71.9
18,182.9,72.8
18,181.6,71.2
18,182.4,71.5
18,182.6,71.1
18,182.5,72.0
18,181.5,72.0
18,182.1,72.7
18,182.2,72.3
18,182.8,72.4
18,181.9,72.4
18,182.1,72.8
18,182.6,71.2
18,182.5,72.5
18,182.2,71.5
18,181.8,72.6
19,184.0,76.4
19,184.1,76.0
19,183.9,76.6
19,184.0,76.4
19,183.7,76.0
19,183.8,76.6
19,183.8,77.0
19,183.9,76.5
19,183.9,75.1
19,183.9,76.6
19,183.9,75.3
19,183.8,75.0
19,183.9,75.4
19,183.7,76.0
19,183.8,76.4
19,183.9,77.0
19,183.7,76.2
19,183.8,76.0
19,184.2,76.0
19,183.7,75.4
19,183.6,76.6
19,183.7,75.7
19,183.9,75.4
19,184.2,76.1
19,183.7,76.9
20,185.4,79.6
20,185.4,80.5
20,185.5,80.9
20,185.4,79.3
20,185.6,80.4
20,185.6,80.1
20,185.5,81.0
20,185.5,79.4
20,185.5,79.1
20,185.5,79.6
20,185.5,79.7
20,185.6,80.0
20,185.4,80.7
20,185.5,80.2
20,185.6,79.7
20,185.5,80.2
20,185.4,80.1
20,185.6,81.0
20,185.6,80.9
20,185.6,79.9
20,185.4,80.1
20,185.6,80.6
20,185.5,79.1
20,185.6,80.4
20,185.5,80.1
